context,question,answer
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 132. Xử lý tình huống trong đấu thầu qua mạng và không qua mạng khoản 16 . Đối với gói thầu có áp dụng thương thảo hợp đồng theo quy định tại khoản 1 Điều 43 của Luật Đấu thầu, trường hợp nhà thầu xếp hạng thứ nhất không tiến hành thương thảo, không ký biên bản thương thảo, thương thảo không thành công, chủ đầu tư xem xét, quyết định theo một trong hai phương án sau đây:  Mời nhà thầu xếp hạng tiếp theo (nếu có) vào thương thảo. Nội dung thương thảo căn cứ vào hồ sơ dự thầu và giá dự thầu sau sửa lỗi, hiệu chỉnh sai lệch, trừ đi giá trị giảm giá (nếu có) của nhà thầu được mời vào thương thảo. Trường hợp thương thảo không thành công, bên mời thầu báo cáo chủ đầu tư xem xét, quyết định việc mời nhà thầu tiếp theo (nếu có) vào thương thảo hợp đồng; nội dung thương thảo căn cứ vào hồ sơ dự thầu và giá dự thầu sau sửa lỗi, hiệu chỉnh sai lệch, trừ đi giá trị giảm giá (nếu có) của nhà thầu được mời vào thương thảo hợp đồng. Trường hợp các nhà thầu được mời thương thảo hợp đồng nhưng từ chối thương thảo, không ký biên bản thương thảo, thương thảo không thành công thì chủ đầu tư xem xét, quyết định hủy thầu theo quy định tại khoản 1 Điều 17 của Luật Đấu thầu. Trường hợp nhà thầu xếp hạng tiếp theo được mời vào thương thảo hợp đồng theo quy định tại điểm này trong thời hạn còn hiệu lực của hồ sơ dự thầu mà không đến thương thảo hoặc có thương thảo mà không ký biên bản thương thảo thì không được hoàn trả giá trị bảo đảm dự thầu. Trường hợp hồ sơ dự thầu của nhà thầu xếp hạng tiếp theo hết hiệu lực thì bên mời thầu phải yêu cầu nhà thầu gia hạn hiệu lực của hồ sơ dự thầu, bảo đảm dự thầu trước khi thương thảo hợp đồng.  Hủy thầu theo quy định tại khoản 1 Điều 17 của Luật Đấu thầu.","Căn cứ vào Luật Đấu thầu, trong trường hợp nào chủ đầu tư có thể quyết định hủy thầu?","các nhà thầu được mời thương thảo hợp đồng nhưng từ chối thương thảo, không ký biên bản thương thảo, thương thảo không thành công"
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 78. Quy trình chỉ định thầu thông thường áp dụng trong trường hợp chủ đầu tư gửi hồ sơ yêu cầu cho nhiều hơn một nhà thầu khoản 5 . Thương thảo hợp đồng (nếu có): Trường hợp áp dụng thương thảo hợp đồng, bên mời thầu mời nhà thầu xếp thứ nhất đến thương thảo hợp đồng. Trong quá trình thương thảo, bên mời thầu có thể yêu cầu nhà thầu làm rõ hoặc sửa đổi, bổ sung nội dung hồ sơ đề xuất để chứng minh việc đáp ứng yêu cầu về năng lực, kinh nghiệm, tiến độ, khối lượng, chất lượng, giải pháp kỹ thuật và biện pháp tổ chức thực hiện gói thầu. Trường hợp thương thảo không thành công, bên mời thầu báo cáo chủ đầu tư xem xét, quyết định mời nhà thầu xếp hạng tiếp theo vào thương thảo.",Trường hợp nào được áp dụng quy trình chỉ định thầu thông thường theo Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 78?,chủ đầu tư gửi hồ sơ yêu cầu cho nhiều hơn một nhà thầu
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 54. Đánh giá hồ sơ đề xuất về kỹ thuật, trình, thẩm định, phê duyệt, công khai danh sách nhà thầu đáp ứng yêu cầu của hồ sơ mời thầu giai đoạn một khoản 3 . Việc trình, thẩm định, phê duyệt, công khai danh sách nhà thầu đáp ứng yêu cầu của hồ sơ mời thầu giai đoạn một thực hiện theo quy định tại Điều 33 của Nghị định này. Danh sách nhà thầu đáp ứng yêu cầu của hồ sơ mời thầu giai đoạn một được đăng tải trên Hệ thống mạng đấu thầu quốc gia chậm nhất là 05 ngày làm việc kể từ ngày phê duyệt.","Nội dung nào của Điều 54 Nghị định hướng dẫn Luật Đấu thầu số 22 quy định về việc trình, thẩm định, phê duyệt, công khai danh sách nhà thầu đáp ứng yêu cầu của hồ sơ mời thầu giai đoạn một?",khoản 3
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 65. Nguyên tắc đánh giá khoản 3 . Việc đánh giá hồ sơ dự thầu được thực hiện trên bản chụp, nhà thầu phải chịu trách nhiệm về tính thống nhất giữa bản gốc và bản chụp. Trường hợp có sự sai khác giữa bản gốc và bản chụp nhưng không làm thay đổi thứ tự xếp hạng nhà thầu thì căn cứ vào bản gốc để đánh giá. Trường hợp có sự sai khác giữa bản gốc và bản chụp dẫn đến kết quả đánh giá trên bản gốc khác kết quả đánh giá trên bản chụp, làm thay đổi thứ tự xếp hạng nhà thầu thì hồ sơ dự thầu của nhà thầu bị loại, nhà thầu bị coi là có hành vi gian lận và bị xử lý theo quy định tại điểm a khoản 1 và khoản 2 Điều 126 của Nghị định này.",Trường hợp có sự sai khác giữa bản gốc và bản chụp nhưng không làm thay đổi thứ tự xếp hạng nhà thầu thì căn cứ vào bản nào để đánh giá?,bản gốc
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 12. Chi phí trong lựa chọn nhà thầu khoản 4 . Chi phí lập, thẩm định hồ sơ:  Chi phí lập hồ sơ mời quan tâm, hồ sơ mời sơ tuyển được tính bằng 0,1% giá gói thầu nhưng tối thiểu là 2.000.000 đồng và tối đa là 30.000.000 đồng;  Chi phí thẩm định hồ sơ mời quan tâm, hồ sơ mời sơ tuyển được tính bằng 0,06% giá gói thầu nhưng tối thiểu là 2.000.000 đồng và tối đa là 30.000.000 đồng;  Chi phí lập hồ sơ mời thầu, hồ sơ yêu cầu được tính bằng 0,2% giá gói thầu nhưng tối thiểu là 3.000.000 đồng và tối đa là 60.000.000 đồng;  Chi phí thẩm định hồ sơ mời thầu, hồ sơ yêu cầu được tính bằng 0,1% giá gói thầu nhưng tối thiểu là 2.000.000 đồng và tối đa là 60.000.000 đồng.",Căn cứ nào để xác định khoản chi phí trong lựa chọn nhà thầu theo Nghị định hướng dẫn Luật Đấu thầu số 22?,khoản 4
"Luật Đấu thầu số 22/2023/QH15 Điều 21. Đấu thầu rộng rãi khoản 2 . Đấu thầu rộng rãi được áp dụng đối với tất cả các gói thầu, trừ trường hợp quy định tại các Điều 22, 23, 24, 25, 26, 27, 28 và 29 của Luật này. Trường hợp không đấu thầu rộng rãi, văn bản trình duyệt kế hoạch lựa chọn nhà thầu phải nêu rõ lý do không thực hiện đấu thầu rộng rãi; người có thẩm quyền quyết định và chịu trách nhiệm về việc không áp dụng đấu thầu rộng rãi.","Trường hợp không đấu thầu rộng rãi, văn bản trình duyệt kế hoạch lựa chọn nhà thầu phải nêu rõ điều gì?",lý do không thực hiện đấu thầu rộng rãi
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 75. Lập, trình và phê duyệt điều khoản tham chiếu, danh sách tư vấn cá nhân theo quy trình rút gọn khoản 3 . Căn cứ hồ sơ do bên mời thầu trình, chủ đầu tư xem xét, phê duyệt điều khoản tham chiếu và danh sách tư vấn cá nhân.","Căn cứ hồ sơ do bên mời thầu trình, chủ đầu tư làm gì?","chủ đầu tư xem xét, phê duyệt điều khoản tham chiếu và danh sách tư vấn cá nhân"
Luật Đấu thầu số 22/2023/QH15 Điều 78. Trách nhiệm của chủ đầu tư khoản 9 . Báo cáo tình hình thực hiện công tác đấu thầu hằng năm.,Căn cứ theo quy định nào mà chủ đầu tư phải báo cáo tình hình thực hiện công tác đấu thầu hằng năm?,Luật Đấu thầu số 22/2023/QH15
"Luật Đấu thầu số 22/2023/QH15 Điều 3. Áp dụng Luật Đấu thầu, pháp luật có liên quan và điều ước quốc tế, thỏa thuận về vốn hỗ trợ phát triển chính thức, vốn vay ưu đãi của nhà tài trợ nước ngoài khoản 1 . Hoạt động đấu thầu thuộc phạm vi điều chỉnh của Luật này phải tuân thủ quy định của Luật này và quy định khác của pháp luật có liên quan. Trường hợp có quy định khác nhau về đấu thầu giữa Luật này và luật khác được ban hành trước ngày Luật này có hiệu lực thi hành thì thực hiện theo quy định của Luật này, trừ trường hợp quy định tại các khoản 2, 3, 4, 5, 6 và 7 Điều này.",Luật Đấu thầu số 22/2023/QH15 áp dụng cho các khoản vốn nào trong phạm vi điều chỉnh?,"hỗ trợ phát triển chính thức, vốn vay ưu đãi của nhà tài trợ nước ngoài"
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 113. Nguyên tắc thanh toán đối với các loại hợp đồng khoản 1 . Đối với hợp đồng trọn gói Việc thanh toán được thực hiện theo tỷ lệ phần trăm giá hợp đồng hoặc giá công trình, hạng mục công trình, khối lượng công việc tương ứng với giai đoạn thanh toán được các bên thỏa thuận trong hợp đồng. Khi thanh toán không yêu cầu có xác nhận khối lượng hoàn thành chi tiết. Đối với hợp đồng theo đơn giá cố định Giá trị thanh toán được tính bằng cách lấy đơn giá cố định trong hợp đồng nhân với khối lượng, số lượng công việc thực tế mà nhà thầu đã thực hiện và đã được nghiệm thu tương ứng với các mốc hoàn thành và quy định trong hợp đồng;",Nguyên tắc thanh toán đối với các loại hợp đồng được quy định tại điều nào của Nghị định hướng dẫn Luật Đấu thầu số 22?,Điều 113
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 16. Nội dung kế hoạch tổng thể lựa chọn nhà thầu cho dự án khoản 2 . Đánh giá năng lực, nguồn lực và kinh nghiệm thực hiện của chủ đầu tư: Đánh giá năng lực, nguồn lực và kinh nghiệm để thực hiện hoạt động đấu thầu bao gồm:  Năng lực để thực hiện quy trình lựa chọn nhà thầu từ bước lập kế hoạch tổng thể lựa chọn nhà thầu đến quản lý hợp đồng;  Kết quả thực hiện công tác đấu thầu của chủ đầu tư thông qua các chỉ tiêu: số lượng nhà thầu trung bình tham gia đấu thầu rộng rãi, hạn chế, chào hàng cạnh tranh, chào giá trực tuyến theo quy trình thông thường; số lần không trả lời yêu cầu làm rõ hồ sơ mời thầu, không trả lời kiến nghị về hồ sơ mời thầu, kết quả lựa chọn nhà thầu của nhà thầu; tỷ lệ gói thầu có kiến nghị về hồ sơ mời thầu, kết quả lựa chọn nhà thầu và các chỉ tiêu khác;  Kinh nghiệm và bài học về triển khai các dự án tương tự, việc quản lý kiến nghị trong lựa chọn nhà thầu, khiếu nại, tố cáo;  Các yếu tố khác.",Điều gì được quy định trong khoản 2 Điều 16 của Nghị định hướng dẫn Luật Đấu thầu số 22?,"Đánh giá năng lực, nguồn lực và kinh nghiệm thực hiện của chủ đầu tư"
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 49. Chuẩn bị, tổ chức đấu thầu giai đoạn hai khoản 3 . Trình, thẩm định và phê duyệt hồ sơ mời thầu:  Hồ sơ mời thầu được thẩm định theo quy định tại Điều 130 của Nghị định này trước khi phê duyệt;  Việc phê duyệt hồ sơ mời thầu được thực hiện bằng văn bản căn cứ vào tờ trình phê duyệt, báo cáo thẩm định hồ sơ mời thầu.",Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 49 tại khoản 3 quy định nội dung gì?,"Trình, thẩm định và phê duyệt hồ sơ mời thầu"
"Nghị định Hướng dẫn Luật Đấu thầu số 22 Điều 81. Quy trình mua sắm trực tiếp
1. Chủ đầu tư chỉ được áp dụng mua sắm trực tiếp một lần đối với các hàng hóa thuộc gói thầu dự kiến áp dụng mua sắm trực tiếp trong thời gian thực hiện dự án hoặc trong một năm ngân sách, năm tài chính của dự toán mua sắm; đối với dự toán mua sắm, trường hợp gói thầu có thời gian thực hiện dài hơn một năm thì chỉ được áp dụng mua sắm trực tiếp một lần đối với các hàng hóa thuộc gói thầu đó trong tất cả các năm của dự toán mua sắm.",Trường hợp nào chỉ được áp dụng mua sắm trực tiếp một lần đối với các hàng hóa thuộc gói thầu đó trong tất cả các năm của dự toán mua sắm?,gói thầu có thời gian thực hiện dài hơn một năm
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 33. Trình, thẩm định, phê duyệt và công khai kết quả lựa chọn nhà thầu khoản 3 . Kết quả lựa chọn nhà thầu được phê duyệt bằng văn bản và căn cứ vào tờ trình phê duyệt, báo cáo thẩm định kết quả lựa chọn nhà thầu.","Theo Nghị định hướng dẫn Luật Đấu thầu số 22, kết quả lựa chọn nhà thầu khoản 3 được phê duyệt bằng văn bản và căn cứ vào những tài liệu gì?","tờ trình phê duyệt, báo cáo thẩm định kết quả lựa chọn nhà thầu"
"Luật Đấu thầu số 22/2023/QH15 Điều 4. Giải thích từ ngữ khoản 20 . Hồ sơ quan tâm, hồ sơ dự sơ tuyển là toàn bộ tài liệu do nhà thầu lập và nộp cho bên mời thầu theo yêu cầu của hồ sơ mời quan tâm, hồ sơ mời sơ tuyển. Trường hợp lựa chọn nhà đầu tư, hồ sơ đăng ký thực hiện dự án là toàn bộ tài liệu do nhà đầu tư lập và nộp theo yêu cầu của hồ sơ mời quan tâm.","Trong Luật Đấu thầu số 22/2023/QH15, thuật ngữ ""Hồ sơ quan tâm, hồ sơ dự sơ tuyển"" được giải thích ở khoản nào?",khoản 20
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 94. Lựa chọn nhà thầu theo số lượng dịch vụ kỹ thuật quy định tại điểm b khoản 1 Điều 55 của Luật Đấu thầu khoản 5 . Trường hợp hết thời gian thực hiện hợp đồng mà số lượng dịch vụ kỹ thuật quy định trong hợp đồng chưa được thực hiện hết thì chủ đầu tư có thể báo cáo người có thẩm quyền xem xét, quyết định việc gia hạn thời gian thực hiện hợp đồng nhưng không quá 12 tháng.","Trường hợp nào thì  thì chủ đầu tư có thể báo cáo người có thẩm quyền xem xét, quyết định việc gia hạn thời gian thực hiện hợp đồng nhưng không quá 12 tháng?",hết thời gian thực hiện hợp đồng mà số lượng dịch vụ kỹ thuật quy định trong hợp đồng chưa được thực hiện hết
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 87. Tạm ứng, thanh toán và giám sát, nghiệm thu gói thầu khoản 1 . Cộng đồng dân cư, tổ chức đoàn thể, nhóm thợ được chủ đầu tư tạm ứng, thanh toán trực tiếp bằng tiền mặt hoặc chuyển khoản thông qua người đại diện của cộng đồng dân cư, tổ chức đoàn thể, nhóm thợ.","Theo Điều 87 Nghị định số 22 hướng dẫn Luật Đấu thầu, đối tượng nào được chủ đầu tư tạm ứng, thanh toán trực tiếp bằng tiền mặt hoặc chuyển khoản?","Cộng đồng dân cư, tổ chức đoàn thể, nhóm thợ"
"Luật Đấu thầu số 22/2023/QH15 Điều 43. Quy trình, thủ tục lựa chọn nhà thầu khoản 6 . Lựa chọn tư vấn cá nhân được áp dụng khi công việc của gói thầu chỉ yêu cầu một hoặc một số chuyên gia có kinh nghiệm, năng lực thực hiện mà không cần sự tham gia của tổ chức, không yêu cầu các điều kiện để thực hiện công việc như đối với nhà thầu là tổ chức. Quy trình, thủ tục lựa chọn tư vấn cá nhân bao gồm các bước sau đây:  Chuẩn bị lựa chọn nhà thầu;  Tổ chức lựa chọn nhà thầu;  Đánh giá hồ sơ lý lịch khoa học của nhà thầu tư vấn cá nhân;  Thương thảo hợp đồng;  Trình, phê duyệt và công khai kết quả lựa chọn nhà thầu;  Ký kết và quản lý thực hiện hợp đồng.","Quy trình, thủ tục lựa chọn tư vấn cá nhân bao gồm bước nào?",Chuẩn bị lựa chọn nhà thầu
"Luật Đấu thầu số 22/2023/QH15 Điều 3. Áp dụng Luật Đấu thầu, pháp luật có liên quan và điều ước quốc tế, thỏa thuận về vốn hỗ trợ phát triển chính thức, vốn vay ưu đãi của nhà tài trợ nước ngoài khoản 4 . Việc lựa chọn nhà thầu ở nước ngoài để thực hiện gói thầu ở nước ngoài của cơ quan đại diện Việt Nam ở nước ngoài thực hiện theo quy định của pháp luật về cơ quan đại diện nước Cộng hòa xã hội chủ nghĩa Việt Nam ở nước ngoài.",Điều luật nào trong Luật Đấu thầu quy định về việc lựa chọn nhà thầu nước ngoài cho gói thầu ở nước ngoài của cơ quan đại diện Việt Nam ở nước ngoài?,Điều 3
